series_id,season_id,stage,event_id,event_start_epoch
AAAA,32,3,5286772,1769394000
AAAA,32,4,5286563,1769415600
AAAA,32,4,5286704,1769422800
AAAA,32,4,5286764,1769430000
AAAA,32,4,5286682,1769437200
AAAA,32,4,5286582,1769448000
AAAA,32,4,5286800,1769451600
AAAA,32,4,5286766,1769455200
AAAA,32,4,5286705,1769473200
AAAA,32,4,5286767,1769480400
AAAA,32,4,5286804,1769502000
AAAA,32,4,5286594,1769509200
AAAA,32,4,5286648,1769516400
AAAA,32,4,5286697,1769523600
AAAA,32,4,5286718,1769534400
AAAA,32,4,5286684,1769538000
AAAA,32,4,5286646,1769541600
AAAA,32,4,5286595,1769559600
AAAA,32,4,5286647,1769566800
AAAA,32,4,5286690,1769588400
AAAA,32,4,5286747,1769595600
AAAA,32,4,5286787,1769602800
AAAA,32,4,5286592,1769610000
AAAA,32,4,5286625,1769620800
AAAA,32,4,5286696,1769624400
AAAA,32,4,5286788,1769628000
AAAA,32,4,5286748,1769646000
AAAA,32,4,5286789,1769653200
AAAA,32,4,5286698,1769674800
AAAA,32,4,5286757,1769682000
AAAA,32,4,5286686,1769689200
AAAA,32,4,5286754,1769696400
AAAA,32,4,5286758,1769707200
AAAA,32,4,5286613,1769710800
AAAA,32,4,5286688,1769714400
AAAA,32,4,5286755,1769732400
AAAA,32,4,5286689,1769739600
AAAA,32,4,5286614,1769761200
AAAA,32,4,5286650,1769768400
AAAA,32,4,5286700,1769775600
AAAA,32,4,5286756,1769782800
AAAA,32,4,5286651,1769793600
AAAA,32,4,5286751,1769797200
AAAA,32,4,5286576,1769800800
AAAA,32,4,5286644,1769818800
AAAA,32,4,5286699,1769826000
AAAA,32,4,5286752,1769847600
AAAA,32,4,5286796,1769854800
AAAA,32,4,5286612,1769862000
AAAA,32,4,5286645,1769869200
AAAA,32,4,5286792,1769880000
AAAA,32,4,5286760,1769883600
AAAA,32,4,5286733,1769887200
AAAA,32,4,5286793,1769905200
AAAA,32,4,5286617,1769912400
AAAA,32,4,5286759,1769934000
AAAA,32,4,5286678,1769941200
AAAA,32,4,5286746,1769948400
AAAA,32,4,5286795,1769955600
AAAA,32,4,5286679,1769966400
AAAA,32,4,5286643,1769970000
AAAA,32,4,5286623,1769973600
AAAA,32,4,5286680,1769991600
AAAA,32,4,5286745,1769998800
AAAA,33,1,5393234,1770020400
AAAA,33,1,5393277,1770027600
AAAA,33,1,5393334,1770034800
AAAA,33,1,5393440,1770042000
AAAA,33,1,5393394,1770052800
AAAA,33,1,5393298,1770056400
AAAA,33,1,5393332,1770060000
AAAA,33,1,5393276,1770078000
AAAA,33,1,5393333,1770085200
AAAA,33,1,5393296,1770106800
AAAA,33,1,5393398,1770114000
AAAA,33,1,5393458,1770121200
AAAA,33,1,5393275,1770128400
AAAA,33,1,5393290,1770139200
AAAA,33,1,5393439,1770142800
AAAA,33,1,5393459,1770146400
AAAA,33,1,5393402,1770164400
AAAA,33,1,5393457,1770171600
AAAA,33,1,5393438,1770193200
AAAA,33,1,5393492,1770200400
AAAA,33,1,5393294,1770207600
AAAA,33,1,5393400,1770214800
AAAA,33,1,5393490,1770225600
AAAA,33,1,5393269,1770229200
AAAA,33,1,5393428,1770232800
AAAA,33,1,5393491,1770250800
AAAA,33,1,5393303,1770258000
AAAA,33,1,5393268,1770279600
AAAA,33,1,5393338,1770286800
AAAA,33,1,5393442,1770294000
AAAA,33,1,5393489,1770301200
AAAA,33,1,5393329,1770312000
AAAA,33,1,5393399,1770315600
